configuration,lambda_mu1,K,mu2,max_k_s,max_k_f,backup,alpha_s,alpha_f,T_avg,T_var,T_wait1_avg,T_service1_avg,T_wait2_avg,T_service2_avg,load1_avg,load2_avg
Finite_Sans_Backup_Piscine_Kf_5,"[(16.6, 1.0)]",21,20.0,,5,Non,0.0%,11.2%,[1.18],[1.04],[0.25],[1.01],[0.08],[0.05],0.78,0.73
Finite_Sans_Backup_Piscine_Kf_6,"[(16.6, 1.0)]",21,20.0,,6,Non,0.0%,8.0%,[1.2],[1.04],[0.28],[1.0],[0.1],[0.05],0.78,0.76
Finite_Sans_Backup_Piscine_Kf_7,"[(16.6, 1.0)]",21,20.0,,7,Non,0.0%,6.1%,[1.19],[1.01],[0.22],[0.99],[0.11],[0.05],0.77,0.77
Finite_Sans_Backup_Piscine_Kf_8,"[(16.6, 1.0)]",21,20.0,,8,Non,0.0%,4.9%,[1.24],[1.08],[0.28],[1.01],[0.13],[0.05],0.79,0.78
Finite_Sans_Backup_Piscine_Kf_9,"[(16.6, 1.0)]",21,20.0,,9,Non,0.0%,3.7%,[1.23],[1.04],[0.27],[0.99],[0.14],[0.05],0.78,0.79
Finite_Sans_Backup_Piscine_Kf_10,"[(16.6, 1.0)]",21,20.0,,10,Non,0.0%,3.2%,[1.23],[1.04],[0.26],[0.99],[0.15],[0.05],0.77,0.79
Finite_Sans_Backup_Piscine_Kf_11,"[(16.6, 1.0)]",21,20.0,,11,Non,0.0%,2.4%,[1.26],[1.05],[0.27],[0.99],[0.16],[0.05],0.77,0.80
Finite_Sans_Backup_Piscine_Kf_12,"[(16.6, 1.0)]",21,20.0,,12,Non,0.0%,1.9%,[1.26],[1.07],[0.25],[1.0],[0.17],[0.05],0.78,0.80
Finite_Sans_Backup_Piscine_Kf_13,"[(16.6, 1.0)]",21,20.0,,13,Non,0.0%,1.5%,[1.26],[1.03],[0.24],[0.99],[0.17],[0.05],0.77,0.81
Finite_Sans_Backup_Piscine_Kf_14,"[(16.6, 1.0)]",21,20.0,,14,Non,0.0%,1.4%,[1.29],[1.06],[0.29],[1.0],[0.18],[0.05],0.78,0.81
Finite_Sans_Backup_Piscine_Kf_15,"[(16.6, 1.0)]",21,20.0,,15,Non,0.0%,1.0%,[1.29],[1.06],[0.26],[1.0],[0.19],[0.05],0.78,0.81
Finite_Sans_Backup_Piscine_Kf_16,"[(16.6, 1.0)]",21,20.0,,16,Non,0.0%,0.8%,[1.3],[1.07],[0.26],[1.0],[0.2],[0.05],0.78,0.81
Finite_Sans_Backup_Piscine_Kf_17,"[(16.6, 1.0)]",21,20.0,,17,Non,0.0%,0.7%,[1.28],[1.05],[0.23],[1.0],[0.2],[0.05],0.77,0.81
Finite_Sans_Backup_Piscine_Kf_18,"[(16.6, 1.0)]",21,20.0,,18,Non,0.0%,0.7%,[1.31],[1.07],[0.3],[1.0],[0.21],[0.05],0.79,0.82
Finite_Sans_Backup_Piscine_Kf_19,"[(16.6, 1.0)]",21,20.0,,19,Non,0.0%,0.5%,[1.31],[1.07],[0.27],[1.0],[0.21],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Kf_20,"[(16.6, 1.0)]",21,20.0,,20,Non,0.0%,0.5%,[1.32],[1.06],[0.25],[1.0],[0.23],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Kf_21,"[(16.6, 1.0)]",21,20.0,,21,Non,0.0%,0.5%,[1.34],[1.1],[0.28],[1.0],[0.23],[0.05],0.79,0.82
Finite_Sans_Backup_Piscine_Kf_22,"[(16.6, 1.0)]",21,20.0,,22,Non,0.0%,0.2%,[1.31],[1.07],[0.26],[1.0],[0.21],[0.05],0.78,0.81
Finite_Sans_Backup_Piscine_Kf_23,"[(16.6, 1.0)]",21,20.0,,23,Non,0.0%,0.3%,[1.34],[1.1],[0.28],[1.0],[0.23],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Kf_24,"[(16.6, 1.0)]",21,20.0,,24,Non,0.0%,0.1%,[1.31],[1.07],[0.22],[1.0],[0.22],[0.05],0.77,0.82
Finite_Sans_Backup_Piscine_Kf_25,"[(16.6, 1.0)]",21,20.0,,25,Non,0.0%,0.1%,[1.34],[1.07],[0.28],[1.0],[0.23],[0.05],0.79,0.83
Finite_Sans_Backup_Piscine_Kf_26,"[(16.6, 1.0)]",21,20.0,,26,Non,0.0%,0.1%,[1.31],[1.06],[0.25],[1.0],[0.22],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Kf_27,"[(16.6, 1.0)]",21,20.0,,27,Non,0.0%,0.2%,[1.33],[1.07],[0.24],[0.99],[0.25],[0.05],0.77,0.83
Finite_Sans_Backup_Piscine_Kf_28,"[(16.6, 1.0)]",21,20.0,,28,Non,0.0%,0.1%,[1.31],[1.06],[0.24],[0.99],[0.23],[0.05],0.77,0.82
Finite_Sans_Backup_Piscine_Kf_29,"[(16.6, 1.0)]",21,20.0,,29,Non,0.0%,0.0%,[1.32],[1.09],[0.26],[1.0],[0.22],[0.05],0.78,0.82
Finite_Sans_Backup_Piscine_Kf_30,"[(16.6, 1.0)]",21,20.0,,30,Non,0.0%,0.1%,[1.31],[1.09],[0.24],[1.0],[0.22],[0.05],0.78,0.82
